CMS Certification Number (CCN),Facility Name,City,State,Zip Code,PhoneNumber,Ownership Type,Total Number of Beds
232035,SELECT SPECIALTY HOSPITAL- BATTLE CREEK,BATTLE CREEK,MI,49016,(269) 245-4675,Non-profit,25
42013,ARKANSAS CONTINUED CARE HOSPITAL OF JONESBORO,JONESBORO,AR,72401,(870) 819-4040,For profit,44
312024,COLUMBUS HOSPITAL LTACH,NEWARK,NJ,7107,(973) 587-7712,Non-profit,63
362016,SELECT SPECIALTY HOSPITAL-NORTHEAST OHIO,CANTON,OH,44708,(330) 489-8198,For profit,61
192022,RUSTON REGIONAL SPECIALTY HOSPITAL,RUSTON,LA,71270,(318) 251-3126,For profit,55
32002,CURAHEALTH TUCSON,TUCSON,AZ,85711,(520) 584-4500,For profit,51
452044,LIFECARE HOSPITALS OF DALLAS,DALLAS,TX,75235,(214) 525-6300,For profit,206
452088,KINDRED HOSPITAL FORT WORTH,FORT WORTH,TX,76104,(817) 332-4812,For profit,67
102021,BAYCARE ALLIANT HOSPITAL,DUNEDIN,FL,34698,(727) 734-6302,Non-profit,48
42011,ADVANCED CARE HOSPITAL WHITE COUNTY,SEARCY,AR,72143,(501) 278-3155,Non-profit,27
322003,ALBUQUERQUE - AMG SPECIALTY HOSPITAL,ALBUQUERQUE,NM,87108,(505) 842-5550,Government,25
22001,ST ELIAS SPECIALTY HOSPITAL,ANCHORAGE,AK,99503,(907) 561-3333,For profit,60
192037,HOUMA - AMG SPECIALTY HOSPITAL,HOUMA,LA,70360,(985) 274-0001,For profit,40
232036,HENRY FORD ALLEGIANCE SPECIALTY HOSPITAL,JACKSON,MI,49202,(517) 796-4426,Non-profit,64
452022,SELECT SPECIALTY HOSPITAL-DALLAS,CARROLLTON,TX,75010,(972) 884-2407,Non-profit,60
102026,FLORIDA HOSPITAL AT CONNERTON LONG TERM ACUTE CARE,LAND O LAKES,FL,34637,(813) 971-3700,For profit,50
12013,NOLAND HOSPITAL SHELBY II,ALABASTER,AL,35007,(205) 620-8641,Non-profit,52
452075,KINDRED HOSPITAL CLEAR LAKE,WEBSTER,TX,77598,(281) 316-7800,For profit,147
92003,BRIDGEPOINT -NATIONAL HARBOR,WASHINGTON,DC,20032,(202) 574-5770,For profit,82
452107,CORNERSTONE HOSPITAL CONROE,CONROE,TX,77304,(682) 831-9670,For profit,41
452083,MID-JEFFERSON EXTENDED CARE HOSPITAL,NEDERLAND,TX,77627,(409) 726-8700,For profit,48
142011,PRESENCE HOLY FAMILY MEDICAL CENTER,DES PLAINES,IL,60016,(847) 813-3176,Non-profit,238
342018,SELECT SPECIALTY HOSPITAL DURHAM INC,DURHAM,NC,27704,(919) 470-9010,For profit,30
212002,WESTERN MARYLAND CENTER,HAGERSTOWN,MD,21742,(301) 745-4140,Government,123
32005,SELECT SPECIALTY HOSPITAL ARIZONA,PHOENIX,AZ,85006,(717) 972-1100,For profit,62
192019,MEMORIAL SPECIALTY HOSPITAL,LAKE CHARLES,LA,70601,(337) 480-8990,For profit,29
222043,VIBRA HOSPITAL OF SOUTHEASTERN MASSACHUSETTS,NEW BEDFORD,MA,2745,(508) 995-6900,For profit,90
12012,NOLAND HOSPITAL TUSCALOOSA II,TUSCALOOSA,AL,35401,(205) 759-7241,Non-profit,32
222000,SPAULDING HOSPITAL FOR CONTINUING MED CARE-CAMB,CAMBRIDGE,MA,2138,(617) 876-4344,Non-profit,180
192052,SPECIALTY HOSPITAL OF WINNFIELD,WINNFIELD,LA,71483,(318) 648-3523,For profit,20
172004,PROMISE HOSPITAL OF OVERLAND PARK,OVERLAND PARK,KS,66212,(913) 649-3701,Government,56
292004,TAHOE PACIFIC HOSPITAL - MEADOWS,RENO,NV,89521,(775) 331-1044,For profit,39
392031,SELECT SPECIALTY HOSPITAL - JOHNSTOWN,JOHNSTOWN,PA,15901,(814) 534-7300,Non-profit,39
102030,SELECT SPECIALTY HOSPITAL DAYTONA BEACH,DAYTONA BEACH,FL,32117,(386) 231-3907,For profit,34
362004,DRAKE CENTER INC,CINCINNATI,OH,45216,(513) 418-2500,Non-profit,108
252008,PROMISE HOSPITAL OF VICKSBURG,VICKSBURG,MS,39183,(601) 883-3439,For profit,35
452082,DUBUIS HOSPITAL OF PARIS,PARIS,TX,75460,(903) 782-2961,Non-profit,25
452015,KINDRED HOSPITAL DALLAS,DALLAS,TX,75218,(214) 355-2600,For profit,140
112006,DEKALB MEDICAL CENTER AT DECATUR,DECATUR,GA,30030,(404) 377-0221,Non-profit,76
262014,SELECT SPECIALTY HOSPITAL - WESTERN MISSOURI,KANSAS CITY,MO,64132,(816) 276-9444,For profit,34
442007,KINDRED HOSPITAL - CHATTANOOGA,CHATTANOOGA,TN,37402,(423) 266-7721,For profit,49
452097,VIBRA SPECIALTY HOSPITAL,DE SOTO,TX,75115,(214) 638-1500,For profit,60
152027,VIBRA HOSPITAL OF FORT WAYNE,FORT WAYNE,IN,46805,(260) 399-2900,For profit,48
52047,VIBRA HOSPITAL OF NORTHERN CALIFORNIA,REDDING,CA,96001,(530) 246-9000,For profit,56
62012,COLORADO ACUTE LONG TERM HOSPITAL,DENVER,CO,80204,(303) 264-6900,For profit,63
52049,KINDRED HOSPITAL RANCHO,RANCHO CUCAMONGA,CA,91730,(909) 581-6400,For profit,55
372017,LANE FROST HEALTH AND REHABILITATION CENTER,HUGO,OK,74743,(580) 326-9200,Non-profit,60
452092,PAM SPECIALTY HOSPITAL OF  CORPUS CHRISTI SOUTH,CORPUS CHRISTI,TX,78414,(361) 986-1600,For profit,74
142014,VIBRA HOSPITAL OF SPRINGFIELD,SPRINGFIELD,IL,62702,(217) 528-1217,For profit,50
342014,HIGHSMITH RAINEY MEMORIAL HOSPITAL,FAYETTEVILLE,NC,28301,(910) 609-6700,Non-profit,112
422008,GHS NORTH GREENVILLE LTACH,TRAVELERS REST,SC,29690,(864) 834-5132,Non-profit,45
232023,SELECT SPECIALTY HOSPITAL-MACOMB COUNTY,MOUNT CLEMENS,MI,48043,(586) 307-9000,For profit,36
332022,TERENCE CARDINAL COOKE HEALTH CARE CENTER,NEW YORK,NY,10029,(212) 360-3600,Non-profit,50
252009,REGENCY HOSPITAL OF HATTIESBURG,HATTIESBURG,MS,39404,(601) 288-8510,Government,33
252006,REGENCY HOSPITAL OF MERIDIAN,MERIDIAN,MS,39301,(601) 484-7900,For profit,40
452061,POST ACUTE MEDICAL SPECIALTY HOSPITAL OF TEXARKANA,TEXARKANA,TX,75503,(903) 614-7600,For profit,49
102012,CURAHEALTH JACKSONVILLE LLC,JACKSONVILLE,FL,32207,(904) 737-3120,For profit,107
62009,KINDRED HOSPITAL-DENVER,DENVER,CO,80218,(303) 320-5871,For profit,68
362039,LIFE LINE HOSPITAL,WINTERSVILLE,OH,43953,(740) 346-2600,Non-profit,36
112016,REGENCY HOSPITAL COMPANY OF MACON,MACON,GA,31217,(478) 803-7300,For profit,34
422006,CONTINUECARE HOSPITAL AT PALMETTO HEALTH BAPTIST,COLUMBIA,SC,29201,(803) 296-3757,Non-profit,35
152007,KINDRED HOSPITAL INDIANAPOLIS,INDIANAPOLIS,IN,46222,(317) 636-4400,For profit,59
42009,REGENCY HOSPITAL OF NORTHWEST ARKANSAS,SPRINGDALE,AR,72764,(479) 713-7000,For profit,50
462004,PROMISE HOSPITAL OF SALT LAKE,SALT LAKE CITY,UT,84143,(801) 408-7109,For profit,41
342013,LIFECARE HOSPITALS OF NC,ROCKY MOUNT,NC,27804,(252) 451-2300,For profit,50
222048,WHITTIER REHABILITATION HOSPITAL,WESTBOROUGH,MA,1581,(508) 871-2063,For profit,88
112011,SELECT SPECIALTY HOSPITAL - SAVANNAH,SAVANNAH,GA,31405,(912) 819-7986,Non-profit,40
102029,PROMISE HOSPITAL OF FORT MYERS,FORT MYERS,FL,33905,(708) 363-4925,For profit,60
292008,CARSON TAHOE CONTINUING CARE HOSPITAL,CARSON CITY,NV,89703,(775) 445-7783,Non-profit,29
452031,PAM SPECIALTY HOSPITAL OF LUFKIN,LUFKIN,TX,75901,(936) 639-7975,Non-profit,26
192007,BRIDGEPOINT CONTINUING CARE HOSPITAL,MARRERO,LA,70072,(504) 349-2584,For profit,44
52035,KINDRED HOSPITAL WESTMINSTER,WESTMINSTER,CA,92683,(714) 893-4541,For profit,109
512003,CORNERSTONE HOSPITAL OF HUNTINGTON,HUNTINGTON,WV,25702,(304) 399-2600,For profit,28
352004,VIBRA HOSPITAL OF FARGO,FARGO,ND,58104,(701) 241-9099,For profit,31
312017,SPECIALTY HOSPITAL OF CENTRAL JERSEY,LAKEWOOD,NJ,8701,(732) 806-3207,For profit,50
452032,CORNERSTONE HOSPITAL HOUSTON- CLEAR LAKE,WEBSTER,TX,77598,(713) 551-5300,For profit,148
142008,KINDRED HOSPITAL - CHICAGO,NORTHLAKE,IL,60164,(773) 267-2620,For profit,258
192012,CHRISTUS DUBUIS HOSPITAL OF ALEXANDRIA,ALEXANDRIA,LA,71301,(318) 448-4960,For profit,25
182008,CONTINUECARE HOSPITAL AT BAPTIST HEALTH PADUCAH,PADUCAH,KY,42003,(270) 575-2597,Non-profit,37
32004,CHG HOSPITAL TUCSON,TUCSON,AZ,85710,(469) 621-6700,For profit,34
182009,CONTINUECARE HOSPITAL AT BAPTIST HLTH MADISONVILLE,MADISONVILLE,KY,42431,(270) 825-5450,Non-profit,35
192028,PROMISE HOSPITAL OF MISS LOU,VIDALIA,LA,71373,(318) 336-6500,For profit,40
452094,PAM SPECIALTY HOSPITAL OF VICTORIA NORTH,VICTORIA,TX,77904,(361) 576-6200,For profit,26
282000,MADONNA REHABILITATION SPECIALTY HOSPITAL LINCOLN,LINCOLN,NE,68506,(402) 413-3000,Non-profit,96
192029,LAFAYETTE - A M G SPECIALTY HOSPITAL,LAFAYETTE,LA,70506,(337) 456-8201,For profit,46
222002,CURAHEALTH STOUGHTON,STOUGHTON,MA,2072,(781) 297-8200,For profit,198
112012,COLUMBUS SPECIALTY HOSPITAL,COLUMBUS,GA,31901,(706) 494-4075,For profit,30
62017,NORTHERN COLORADO LONG TERM ACUTE HOSP - LONG TERM,JOHNSTOWN,CO,80534,(970) 619-3663,For profit,20
412001,ELEANOR SLATER HOSPITAL,CRANSTON,RI,2921,(401) 462-1525,Government,495
232012,SELECT SPECIALTY HOSPITAL-FLINT,FLINT,MI,48532,(810) 342-4550,For profit,36
222047,WHITTIER REHABILITATION HOSPITAL - BRADFORD,BRADFORD,MA,1835,(978) 372-8000,For profit,60
452108,DALLAS LTACH LLC,DALLAS,TX,75231,(469) 232-6500,For profit,60
452079,KINDRED HOSPTIAL EL PASO,EL PASO,TX,79902,(915) 351-9044,For profit,72
32006,PROMISE HOSPITAL OF PHOENIX,MESA,AZ,85203,(480) 427-3001,For profit,48
452066,PLUM CREEK SPECIALTY HOSPITAL,AMARILLO,TX,79124,(806) 351-1000,For profit,47
212003,DEER'S HEAD CENTER,SALISBURY,MD,21802,(410) 543-4010,Government,66
62015,KINDRED HOSPITAL - DENVER SOUTH,DENVER,CO,80210,(303) 715-7373,For profit,65
232020,MCLAREN BAY SPECIAL CARE,BAY CITY,MI,48706,(989) 667-6802,Non-profit,31
252005,SELECT SPECIALTY HOSPITAL-GULF COAST,GULFPORT,MS,39501,(228) 575-7500,For profit,70
152013,KINDRED HOSPITAL INDIANAPOLIS NORTH,INDIANAPOLIS,IN,46250,(317) 813-8900,For profit,45
52036,KINDRED HOSPITAL - SAN DIEGO,SAN DIEGO,CA,92104,(619) 543-4500,For profit,70
422004,SPARTANBURG HOSP FOR RESTORATIVE CARE,SPARTANBURG,SC,29303,(864) 560-3235,Government,97
52034,KINDRED HOSPITAL - SAN FRANCISCO BAY AREA,SAN LEANDRO,CA,94577,(510) 357-8300,For profit,99
452095,SOLARA HOSPITAL MCALLEN,MC ALLEN,TX,78503,(956) 632-4880,For profit,53
452039,KINDRED HOSPITAL,HOUSTON,TX,77065,(281) 897-8114,For profit,158
192010,PROMISE HOSPITAL OF LOUISIANA  INC,SHREVEPORT,LA,71101,(318) 425-4096,For profit,196
292006,COMPLEX CARE HOSPITAL AT TENAYA,LAS VEGAS,NV,89128,(702) 562-2021,For profit,70
362023,VIBRA HOSPITAL OF MAHONING VALLEY,BOARDMAN,OH,44512,(330) 726-5021,Non-profit,45
102009,KINDRED HOSPITAL-BAY AREA-TAMPA,TAMPA,FL,33611,(813) 839-6341,For profit,155
142013,GREATER PEORIA SPECIALTY HOSPITAL,PEORIA,IL,61605,(309) 680-1500,Non-profit,50
52037,KINDRED HOSPITAL ONTARIO,ONTARIO,CA,91764,(909) 391-0333,For profit,91
452067,PROMISE HOSPITAL OF DALLAS,DALLAS,TX,75235,(214) 637-0000,For profit,66
192033,P A M SPECIALTY HOSPITAL OF LAFAYETTE,LAFAYETTE,LA,70508,(337) 232-1905,For profit,50
262015,LANDMARK HOSPITAL OF CAPE GIRARDEAU,CAPE GIRARDEAU,MO,63701,(573) 335-1091,For profit,30
522005,LAKEVIEW SPECIALTY HOSPITAL  &  REHAB CENTER,WATERFORD,WI,53185,(262) 534-7297,For profit,39
292007,LAS VEGAS-AMG SPECIALTY HOSPITAL,LAS VEGAS,NV,89121,(702) 433-2200,For profit,24
262019,MOSIAC LIFE CARE AT ST JOSEPH,SAINT JOSEPH,MO,64506,(816) 271-6480,Non-profit,41
362031,SELECT SPECIALTY HOSPITAL SOUTHEAST OHIO,NEWARK,OH,43055,(740) 588-7888,For profit,35
342012,KINDRED HOSPITAL GREENSBORO,GREENSBORO,NC,27406,(336) 271-2800,For profit,101
362022,SELECT SPECIALTY HOSPITAL-COLUMBUS,COLUMBUS,OH,43201,(614) 458-9000,Non-profit,186
62013,KINDRED HOSPITAL AURORA,AURORA,CO,80011,(720) 857-8333,For profit,37
422007,REGENCY HOSPITAL OF FLORENCE,FLORENCE,SC,29501,(843) 661-3481,For profit,40
42012,BAPTIST HEALTH EXTENDED CARE HOSPITAL-LR INC,LITTLE ROCK,AR,72205,(501) 202-1070,Non-profit,55
232033,SELECT SPECIALTY HOSPITAL-SAGINAW,SAGINAW,MI,48602,(989) 583-4667,For profit,32
452101,SOLARA HOSPITAL HARLINGEN,HARLINGEN,TX,78550,(682) 831-9670,For profit,41
492010,CENTRA SPECIALTY HOSPITAL,LYNCHBURG,VA,24503,(434) 200-1960,Non-profit,36
452071,KINDRED HOSPITAL-WHITE ROCK,DALLAS,TX,75218,(214) 324-6730,For profit,25
102018,COMPLEX CARE HOSPITAL AT RIDGELAKE,SARASOTA,FL,34240,(941) 342-3200,Non-profit,40
322004,ADVANCED CARE HOSPITAL OF SOUTHERN NEW MEXICO LLC,LAS CRUCES,NM,88011,(575) 521-6600,Government,20
192015,OCHSNER EXTENDED CARE HOSPITAL,JEFFERSON,LA,70121,(504) 464-8590,For profit,32
12008,SELECT SPECIALTY HOSPITAL - BIRMINGHAM,BIRMINGHAM,AL,35209,(205) 599-4595,For profit,38
242004,HEALTHEAST BETHESDA HOSPITAL,SAINT PAUL,MN,55103,(651) 232-2185,Non-profit,254
312018,CARE ONE AT RARITAN BAY MEDICAL CENTER,PERTH AMBOY,NJ,8861,(732) 324-6090,For profit,51
362015,GRACE HOSPITAL,WARRENSVILLE HEIGHTS,OH,44122,(216) 491-7295,Non-profit,104
132002,VIBRA HOSPITAL OF BOISE,BOISE,ID,83709,(208) 489-9500,Non-profit,60
282002,SELECT SPECIALTY HOSPITAL - LINCOLN,LINCOLN,NE,68502,(402) 361-5755,For profit,24
192030,ST THERESA SPECIALTY HOSPITAL,KENNER,LA,70065,(504) 904-7561,For profit,73
112010,KINDRED HOSPITAL ROME,ROME,GA,30165,(706) 509-4100,For profit,45
452106,PAM SPECIALTY HOSPITAL OF NEW BRAUNFELS,NEW BRAUNFELS,TX,78130,(830) 627-7600,For profit,40
232037,SPARROW SPECIALTY HOSPITAL,LANSING,MI,48912,(517) 364-6800,Non-profit,36
122001,LEAHI HOSPITAL,HONOLULU,HI,96816,(808) 733-8000,Government,9
372012,INSPIRE SPECIALTY HOSPITAL,MIDWEST CITY,OK,73110,(405) 739-0800,For profit,31
112000,ROOSEVELT WARM SPRINGS LTAC HOSPITAL,WARM SPRINGS,GA,31830,(706) 655-5515,Government,32
362026,SELECT SPECIALTY HOSPITAL- CLEVELAND FAIRHILL,CLEVELAND,OH,44120,(216) 983-8011,For profit,119
272001,ADVANCED CARE HOSPITAL OF MONTANA,BILLINGS,MT,59102,(406) 373-8000,For profit,40
342021,CAROLINAS CONTINUECARE HOSPITAL AT UNIVERSITY,CHARLOTTE,NC,28262,(704) 863-8300,Non-profit,35
82000,SELECT SPECIALTY HOSPITAL WILMINGTON,WILMINGTON,DE,19805,(302) 421-4591,For profit,35
372009,SELECT SPECIALTY HOSPITAL - OKLAHOMA CITY,OKLAHOMA CITY,OK,73112,(405) 606-6700,For profit,72
192031,CORNERSTONE HOSPITAL WEST MONROE,WEST MONROE,LA,71291,(318) 396-5600,For profit,47
192016,SPECIALTY HOSPITAL,MONROE,LA,71201,(318) 966-4126,For profit,32
492007,HOSPITAL FOR EXTENDED RECOVERY,NORFOLK,VA,23507,(757) 388-1700,Non-profit,35
102017,SELECT SPECIALTY HOSPITAL - PANAMA CITY,PANAMA CITY,FL,32401,(850) 767-3180,Government,30
292003,HORIZON SPECIALTY HOSPITAL,LAS VEGAS,NV,89106,(702) 382-3155,For profit,199
452091,TYLER CONTINUECARE HOSPITAL (AT MOTHER FRANCES),TYLER,TX,75701,(903) 531-4942,Non-profit,51
142009,THC CHICAGO INC DBA KINDRED CHICAGO,CHICAGO,IL,60641,(773) 736-7000,For profit,94
12007,NOLAND HOSPITAL MONTGOMERY II,MONTGOMERY,AL,36106,(334) 240-0532,Government,60
452062,WARM SPRING SPECIALITY HOSPTIAL AT LULING,LULING,TX,78648,(512) 672-6592,For profit,34
232021,SELECT SPECIALTY HOSPITAL - MUSKEGON,MUSKEGON,MI,49442,(231) 728-5800,For profit,31
162001,SELECT SPECIALTY HOSPITAL - QUAD CITIES,DAVENPORT,IA,52806,(563) 468-2000,For profit,50
102024,SELECT SPECIALTY HOSPITAL PENSACOLA,PENSACOLA,FL,32504,(850) 479-5938,For profit,54
232029,SELECT SPECIALTY HOSPITAL - SPECTRUM HEALTH,GRAND RAPIDS,MI,49506,(616) 774-3800,Non-profit,146
432002,SELECT SPECIALTY HOSPITAL - SOUTH DAKOTA,SIOUX FALLS,SD,57105,(605) 312-9520,For profit,24
372007,SELECT SPECIALTY HOSPITAL - TULSA/MIDTOWN,TULSA,OK,74120,(918) 579-7301,For profit,56
452038,TEXAS NEURO REHABILITATION CENTER,AUSTIN,TX,78745,(512) 444-4835,For profit,47
452046,PLAZA SPECIALTY HOSPITAL,HOUSTON,TX,77004,(713) 285-1000,For profit,65
222027,NEW ENGLAND SINAI HOSPITAL,STOUGHTON,MA,2072,(781) 364-4850,Non-profit,212
52032,KINDRED - LOS ANGELES,LOS ANGELES,CA,90056,(310) 642-0325,For profit,81
452112,ICON HOSPITAL,HUMBLE,TX,77338,(704) 887-7283,Physician,54
12014,NORTH ALABAMA SPECIALTY HOSPITAL,ATHENS,AL,35611,(337) 269-9566,For profit,31
462005,UTAH VALLEY SPECIALTY HOSPITAL,PROVO,UT,84604,(801) 226-8880,For profit,40
102032,LANDMARK HOSPITAL OF SOUTHWEST FLORIDA,NAPLES,FL,34108,(239) 478-8398,For profit,50
392048,LIFECARE HOSPITALS OF CHESTER COUNTY,WEST CHESTER,PA,19380,(484) 826-0400,For profit,39
452040,SAN ANTONIO-AMG SPECIALTY HOSPITAL,SAN ANTONIO,TX,78212,(210) 572-4600,For profit,30
102003,SELECT SPECIALTY HOSPITAL - ORLANDO,ORLANDO,FL,32809,(407) 303-1766,For profit,75
522004,PAM SPECIALTY HOSPITAL OF MILWAUKEE,GREENFIELD,WI,53228,(414) 427-8282,For profit,62
342019,CAROLINAS CONTINUECARE AT KINGS MOUNTAIN,KINGS MOUNTAIN,NC,28086,(980) 487-5520,Non-profit,41
232031,SELECT SPECIALTY HOSPITAL-WYANDOTTE,WYANDOTTE,MI,48192,(313) 375-7075,For profit,40
452121,CONTINUECARE HOSPITAL AT MEDICAL CENTER ODESSA,ODESSA,TX,79761,(972) 943-6488,Non-profit,25
42008,CHRISTUS DUBUIS HOSPITAL OF FORT SMITH,FORT SMITH,AR,72903,(479) 314-4900,For profit,25
362033,KINDRED HOSPITALS-DAYTON,DAYTON,OH,45417,(937) 331-9265,Non-profit,67
192009,CURAHEALTH NEW ORLEANS,NEW ORLEANS,LA,70115,(504) 899-1555,For profit,187
452042,CHRISTUS DUBUIS HOSPITAL OF BEAUMONT,BEAUMONT,TX,77702,(409) 899-7680,Non-profit,53
442006,CURAHEALTH NASHVILLE,NASHVILLE,TN,37218,(615) 687-2600,Non-profit,60
452051,UT HEALTH EAST TEXAS SPECIALTY HOSPITAL,TYLER,TX,75701,(903) 535-6551,Non-profit,36
502001,REGIONAL HOSPITAL FOR RESPIRATORY AND COMPLEX CARE,BURIEN,WA,98166,(206) 248-4548,Non-profit,40
362037,SELECT SPECIALTY HOSPITAL COLUMBUS,COLUMBUS,OH,43207,(614) 456-0339,For profit,43
362027,SELECT SPECIALTY HOSPITAL-AKRON,AKRON,OH,44308,(330) 761-7500,For profit,34
52038,KINDRED HOSPITAL -- LA MIRADA,LA MIRADA,CA,90638,(562) 944-1900,For profit,277
452016,KINDRED HOSPITAL SAN ANTONIO,SAN ANTONIO,TX,78229,(210) 616-0616,For profit,59
442010,BAPTIST MEMORIAL RESTORATIVE CARE HOSPITAL,MEMPHIS,TN,38120,(901) 226-4200,Non-profit,30
182005,COMMONWEALTH  REGIONAL SPECIALTY HOSPITAL,BOWLING GREEN,KY,42101,(270) 796-6200,Non-profit,28
452041,CARRUS SPECIALTY HOSPITAL,SHERMAN,TX,75092,(903) 416-4441,Physician,33
142006,THC CHICAGO INC DBA KINDRED HOSP,SYCAMORE,IL,60178,(815) 895-2144,For profit,69
172005,SELECT SPECIALTY HOSPITAL OF KS CITY,KANSAS CITY,KS,66112,(913) 732-5930,For profit,40
